NUMERO,corredor,PRIMERA,CALL13,FECHA,F5,F6,P1,P2,P3,P4A,P4B,P4C,P4D,P4E,P33A,P33B,P33C,P33D,P33E,P33F,P33G,P33H,P33J,P33K,P33L,P34,P37,P40,P43,P43_1A,P43_1B,P43_1C,P43_1D,P43_1E,P43_1F,P43_1G,P44_1,P44_2,P44_3,P44_4,P44_5,P44_6,P44_7,P44_8,P45_1,P45_2,P45_3,P45_4,P45_5,P45_6,P45_7,P30,P31,P32,D1,D2,D3,tramo,corredor_nombre,tamano_empresa,es_mipyme,sector,seguridad_empeoro,fue_victima,indice_satisfaccion,obras_iniciadas
1,1,,18.0,27/09/2024 2:51:45 p. m.,3,4,3.0,3.0,2.0,0,100,0,0,0,1,5,3,1,5,2,3,5,5,2,2,5,,5,2,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5,5,2,33,3,18,Calle 13,Grande,0,Servicio,1,1,3.25,0
2,1,,18.0,27/09/2024 2:59:17 p. m.,92,2,1.0,1.0,1.0,0,0,0,0,100,1,1,1,1,5,1,1,3,1,1,1,1,1.0,5,3,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4,4,1,50,3,18,Calle 13,Pequeña,1,,0,1,1.5,0
3,1,,18.0,27/09/2024 2:54:09 p. m.,3,4,1.0,1.0,1.0,0,0,100,0,0,1,1,1,1,1,1,1,1,1,1,1,1,5.0,5,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,2,22,3,18,Calle 13,Grande,0,Servicio,0,0,1.0,0
4,1,,18.0,27/09/2024 3:56:00 p. m.,2,1,5.0,1.0,4.0,0,0,30,70,0,5,3,5,1,5,1,1,2,1,2,5,3,3.0,3,3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,4,1,18,4,18,Calle 13,Micro,1,Comercio,0,0,2.8333333333333335,0
5,1,,18.0,27/09/2024 4:18:22 p. m.,3,1,4.0,1.0,3.0,25,50,25,0,0,2,3,2,3,1,2,2,1,5,2,3,2,5.0,4,3,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,4,3,3,1,39,3,18,Calle 13,Micro,1,Servicio,0,0,2.3333333333333335,0
6,1,,18.0,27/09/2024 4:07:48 p. m.,2,3,2.0,1.0,,0,50,50,0,0,5,5,4,3,5,4,5,5,3,3,3,4,4.0,4,3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,2,25,3,18,Calle 13,Mediana,1,Comercio,0,0,4.083333333333333,0
7,1,,18.0,27/09/2024 5:22:24 p. m.,3,1,1.0,1.0,1.0,0,0,0,100,0,2,3,3,4,2,2,4,3,2,4,2,3,4.0,5,3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,2,33,5,18,Calle 13,Micro,1,Servicio,0,1,2.8333333333333335,0
8,1,,18.0,27/09/2024 5:35:52 p. m.,2,2,2.0,2.0,1.0,0,0,100,0,0,2,4,3,5,3,4,5,4,5,5,2,4,3.0,3,1,,,,,,,,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,2,4,2,20,3,18,Calle 13,Pequeña,1,Comercio,0,0,3.8333333333333335,0
9,1,,19.0,28/09/2024 10:14:19 a. m.,2,2,2.0,1.0,1.0,100,0,0,0,0,2,1,5,4,3,2,1,5,4,3,1,5,3.0,4,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,4,5,5,2,40,3,19,Calle 13,Pequeña,1,Comercio,1,0,3.0,1
10,1,,19.0,28/09/2024 10:13:07 a. m.,3,2,2.0,,1.0,0,100,0,0,0,1,1,3,4,5,1,1,1,1,1,2,3,4.0,2,2,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,32,4,19,Calle 13,Pequeña,1,Servicio,1,1,2.0,1
11,1,,19.0,28/09/2024 11:28:21 a. m.,2,2,1.0,,,0,0,100,0,0,5,1,5,5,5,5,1,1,1,5,5,1,4.0,5,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,50,3,19,Calle 13,Pequeña,1,Comercio,1,1,3.3333333333333335,1
12,1,,19.0,28/09/2024 11:33:13 a. m.,2,1,1.0,,,0,0,100,0,0,3,3,3,1,4,2,1,3,3,4,3,4,5.0,3,2,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,4,3,3,1,65,2,19,Calle 13,Micro,1,Comercio,1,1,2.8333333333333335,1
13,1,,19.0,28/09/2024 1:15:06 p. m.,2,2,2.0,1.0,,0,0,100,0,0,2,5,2,3,4,1,1,2,1,4,3,3,5.0,5,2,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,3,3,1,2,38,3,19,Calle 13,Pequeña,1,Comercio,1,0,2.5833333333333335,1
14,1,,19.0,28/09/2024 1:34:16 p. m.,3,1,4.0,2.0,3.0,50,0,50,0,0,3,4,4,5,2,4,2,2,2,5,4,4,5.0,4,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,2,18,4,19,Calle 13,Micro,1,Servicio,0,0,3.4166666666666665,1
15,1,,19.0,30/09/2024 11:01:15 a. m.,2,2,1.0,,,0,0,100,0,0,3,1,1,1,1,1,1,1,1,3,2,4,2.0,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,2,2,1,1,57,3,19,Calle 13,Pequeña,1,Comercio,1,0,1.6666666666666667,1
16,1,,19.0,30/09/2024 1:00:42 p. m.,2,2,2.0,1.0,,100,0,0,0,0,2,1,4,2,4,2,2,3,1,2,2,1,3.0,3,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,25,5,19,Calle 13,Pequeña,1,Comercio,1,0,2.1666666666666665,1
17,1,,19.0,30/09/2024 1:51:38 p. m.,1,3,10.0,4.0,2.0,0,100,0,0,0,5,5,4,3,5,5,1,1,1,2,4,4,5.0,1,2,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,5,5,1,1,46,3,19,Calle 13,Mediana,1,Industria,1,1,3.3333333333333335,1
18,1,,19.0,30/09/2024 1:54:22 p. m.,2,2,3.0,,,50,50,0,0,0,1,5,1,1,1,3,1,5,1,5,1,3,,5,2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,33,5,19,Calle 13,Pequeña,1,Comercio,1,0,2.3333333333333335,1
19,2,3.0,,30/09/2024 2:22:47 p. m.,1,3,6.0,1.0,2.0,25,25,0,0,50,5,5,5,3,5,1,1,5,5,3,5,3,4.0,5,3,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,4,1,34,4,3,Primera Línea Metro,Mediana,1,Industria,0,0,3.8333333333333335,0
20,1,,19.0,30/09/2024 2:21:04 p. m.,2,2,8.0,5.0,3.0,0,30,70,0,0,2,4,3,3,2,2,2,2,3,2,2,3,4.0,4,3,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,3,3,1,2,21,4,19,Calle 13,Pequeña,1,Comercio,0,1,2.5,1
21,2,3.0,,30/09/2024 2:25:12 p. m.,2,1,3.0,1.0,,0,0,25,75,0,1,1,3,2,1,1,1,1,1,3,1,3,5.0,4,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,3,1,3,2,65,2,3,Primera Línea Metro,Micro,1,Comercio,0,0,1.5833333333333333,0
22,2,3.0,,30/09/2024 2:26:38 p. m.,3,3,3.0,,,0,0,0,50,50,1,1,1,1,1,1,1,1,1,1,1,1,1.0,5,2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,5,1,1,39,5,3,Primera Línea Metro,Mediana,1,Servicio,1,1,1.0,0
23,2,3.0,,30/09/2024 1:28:39 p. m.,2,2,2.0,1.0,,100,0,0,0,0,1,4,4,4,5,1,1,1,1,4,1,1,5.0,5,2,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,5,1,69,4,3,Primera Línea Metro,Pequeña,1,Comercio,1,0,2.3333333333333335,0
24,1,,19.0,30/09/2024 2:46:41 p. m.,1,1,4.0,1.0,,0,0,0,0,100,2,4,4,4,4,3,2,2,2,4,4,4,5.0,5,3,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,46,5,19,Calle 13,Micro,1,Industria,0,0,3.25,1
25,2,3.0,,30/09/2024 2:50:34 p. m.,2,2,3.0,2.0,,100,0,0,0,0,1,1,1,1,1,1,3,1,1,1,1,1,3.0,5,3,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,5,5,2,48,4,3,Primera Línea Metro,Pequeña,1,Comercio,0,0,1.1666666666666667,0
26,1,,18.0,30/09/2024 3:08:47 p. m.,3,2,1.0,1.0,1.0,0,0,100,0,0,3,2,5,2,1,1,1,1,4,2,1,2,4.0,5,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,3,3,3,2,56,4,18,Calle 13,Pequeña,1,Servicio,1,0,2.0833333333333335,0
27,2,3.0,,30/09/2024 3:21:12 p. m.,2,2,1.0,1.0,,100,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1,2,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,2,59,3,3,Primera Línea Metro,Pequeña,1,Comercio,1,1,1.0,0
28,2,2.0,,30/09/2024 3:10:15 p. m.,92,2,2.0,2.0,,0,0,100,0,0,1,1,1,1,1,5,1,1,1,1,1,1,5.0,1,3,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,5,1,1,2,36,4,2,Primera Línea Metro,Pequeña,1,,0,0,1.3333333333333333,0
29,1,,19.0,30/09/2024 3:32:42 p. m.,1,1,9.0,5.0,4.0,50,0,30,10,10,3,3,2,3,3,3,4,4,2,3,2,3,4.0,4,2,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,24,4,19,Calle 13,Micro,1,Industria,1,1,2.9166666666666665,1
30,1,,19.0,30/09/2024 3:50:35 p. m.,2,2,3.0,2.0,1.0,0,0,100,0,0,1,1,3,2,4,3,1,2,1,1,1,5,3.0,5,2,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,4,1,31,3,19,Calle 13,Pequeña,1,Comercio,1,0,2.0833333333333335,1
31,2,3.0,,30/09/2024 3:46:45 p. m.,2,1,9.0,1.0,,85,15,0,0,0,1,1,5,1,5,1,1,1,1,5,5,1,5.0,5,3,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,29,3,3,Primera Línea Metro,Micro,1,Comercio,0,0,2.3333333333333335,0
32,2,3.0,,30/09/2024 3:40:29 p. m.,2,1,2.0,1.0,1.0,0,0,0,100,0,1,1,3,1,3,1,1,1,1,2,1,5,1.0,5,2,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,5,5,5,1,43,3,3,Primera Línea Metro,Micro,1,Comercio,1,1,1.75,0
34,2,2.0,,30/09/2024 3:45:00 p. m.,3,3,4.0,2.0,,30,0,40,0,30,3,1,3,1,2,1,1,1,1,3,1,1,,5,2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,5,1,5,2,44,4,2,Primera Línea Metro,Mediana,1,Servicio,1,1,1.5833333333333333,0
35,1,,18.0,30/09/2024 4:20:57 p. m.,3,2,1.0,1.0,,100,0,0,0,0,1,1,4,2,1,1,1,3,3,1,4,2,3.0,5,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,2,35,4,18,Calle 13,Pequeña,1,Servicio,1,0,2.0,0
36,1,,19.0,30/09/2024 4:58:18 p. m.,3,2,1.0,,,100,0,0,0,0,3,2,4,1,1,1,1,1,3,4,2,2,4.0,5,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,40,5,19,Calle 13,Pequeña,1,Servicio,1,0,2.0833333333333335,1
37,1,,18.0,30/09/2024 7:43:49 p. m.,2,1,2.0,1.0,,0,100,0,0,0,2,1,3,2,2,1,3,2,1,5,1,1,3.0,5,2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,5,3,1,60,2,18,Calle 13,Micro,1,Comercio,1,0,2.0,0
38,1,,18.0,30/09/2024 8:13:59 p. m.,2,2,1.0,,1.0,100,0,0,0,0,2,2,4,2,3,3,3,3,3,3,3,4,3.0,5,2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,4,4,4,1,25,4,18,Calle 13,Pequeña,1,Comercio,1,0,2.9166666666666665,0
39,1,,18.0,27/09/2024 2:44:09 p. m.,2,2,1.0,1.0,1.0,0,0,100,0,0,3,5,3,5,1,3,1,1,1,3,2,3,5.0,5,3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,2,46,4,18,Calle 13,Pequeña,1,Comercio,0,1,2.5833333333333335,0
40,1,,17.0,1/10/2024 11:07:10 a. m.,2,2,1.0,,,50,30,20,0,0,1,1,5,3,3,2,4,2,5,5,1,1,5.0,5,3,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,3,1,1,63,4,17,Calle 13,Pequeña,1,Comercio,0,1,2.75,0
41,2,3.0,,1/10/2024 11:15:54 a. m.,2,2,1.0,1.0,,0,0,100,0,0,2,1,2,2,2,3,2,1,1,2,1,3,1.0,4,2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,5,4,1,2,35,5,3,Primera Línea Metro,Pequeña,1,Comercio,1,1,1.8333333333333333,0
43,2,3.0,,1/10/2024 11:21:13 a. m.,2,2,3.0,,1.0,100,0,0,0,0,2,1,5,1,5,1,1,1,2,2,1,1,1.0,5,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,5,3,2,1,34,3,3,Primera Línea Metro,Pequeña,1,Comercio,0,1,1.9166666666666667,0
45,2,2.0,,1/10/2024 11:25:37 a. m.,2,2,4.0,1.0,2.0,25,0,25,0,50,1,1,5,1,1,1,1,1,1,5,1,1,1.0,5,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,2,1,1,1,40,3,2,Primera Línea Metro,Pequeña,1,Comercio,0,1,1.6666666666666667,0
46,1,,18.0,1/10/2024 11:46:34 a. m.,2,2,2.0,2.0,1.0,0,0,100,0,0,2,3,2,1,1,2,1,3,3,1,1,3,4.0,4,2,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,2,1,1,2,21,4,18,Calle 13,Pequeña,1,Comercio,1,1,1.9166666666666667,0
48,2,3.0,,1/10/2024 11:29:21 a. m.,2,1,4.0,2.0,,25,25,0,50,0,2,1,2,1,1,1,1,3,3,2,1,2,1.0,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,2,4,1,32,4,3,Primera Línea Metro,Micro,1,Comercio,0,0,1.6666666666666667,0
49,2,3.0,,1/10/2024 12:02:18 p. m.,2,1,24.0,6.0,2.0,30,10,10,0,50,1,1,1,1,1,1,1,1,1,1,1,1,5.0,3,2,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,5,5,1,39,4,3,Primera Línea Metro,Micro,1,Comercio,1,1,1.0,0
50,1,,19.0,1/10/2024 11:58:14 a. m.,2,3,4.0,2.0,,0,30,70,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1.0,5,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,50,4,19,Calle 13,Mediana,1,Comercio,1,1,1.0,1
51,2,3.0,,1/10/2024 12:26:33 p. m.,2,2,5.0,2.0,3.0,50,50,0,0,0,3,1,3,1,1,3,1,3,1,1,1,3,5.0,3,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,3,3,5,1,24,2,3,Primera Línea Metro,Pequeña,1,Comercio,0,1,1.8333333333333333,0
52,1,,19.0,1/10/2024 12:38:59 p. m.,2,2,1.0,1.0,1.0,0,0,100,0,0,3,3,5,3,5,4,3,5,3,3,2,5,5.0,4,1,,,,,,,,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,5,4,5,2,38,5,19,Calle 13,Pequeña,1,Comercio,0,0,3.6666666666666665,1
53,2,3.0,,1/10/2024 12:39:11 p. m.,3,1,9.0,2.0,7.0,30,0,10,0,60,1,3,3,4,3,3,3,3,1,4,1,1,3.0,3,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,5,1,5,2,43,5,3,Primera Línea Metro,Micro,1,Servicio,0,0,2.5,0
54,2,3.0,,1/10/2024 12:29:46 p. m.,1,3,2.0,,,50,50,0,0,0,1,1,5,1,5,5,5,5,5,5,1,5,5.0,1,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,5,5,1,1,43,2,3,Primera Línea Metro,Mediana,1,Industria,0,1,3.6666666666666665,0
55,2,3.0,,1/10/2024 12:27:44 p. m.,2,2,1.0,1.0,1.0,100,0,0,0,0,5,5,1,1,5,5,5,5,5,1,1,5,5.0,5,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,5,5,5,2,23,4,3,Primera Línea Metro,Pequeña,1,Comercio,0,0,3.6666666666666665,0
56,2,3.0,,1/10/2024 12:36:28 p. m.,3,2,2.0,1.0,,0,0,100,0,0,3,1,5,1,1,2,3,5,5,5,2,5,1.0,5,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,5,3,3,2,36,3,3,Primera Línea Metro,Pequeña,1,Servicio,0,0,3.1666666666666665,0
57,2,3.0,,1/10/2024 12:38:06 p. m.,3,2,3.0,,,0,25,75,0,0,1,2,1,1,1,1,1,1,1,1,1,1,1.0,5,2,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,40,3,3,Primera Línea Metro,Pequeña,1,Servicio,1,0,1.0833333333333333,0
58,2,3.0,,1/10/2024 12:46:05 p. m.,2,1,1.0,1.0,,0,0,0,50,50,1,3,3,1,3,3,1,5,1,1,1,5,1.0,5,3,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,5,2,41,4,3,Primera Línea Metro,Micro,1,Comercio,0,1,2.3333333333333335,0
59,2,3.0,,1/10/2024 1:01:46 p. m.,92,2,2.0,,,0,100,0,0,0,1,3,1,1,3,1,1,1,1,1,1,1,1.0,5,2,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,4,5,5,93,36,3,3,Primera Línea Metro,Pequeña,1,,1,1,1.3333333333333333,0
60,2,3.0,,1/10/2024 12:37:05 p. m.,2,1,2.0,,,0,0,50,50,0,1,1,1,1,1,1,1,1,1,1,1,1,4.0,5,2,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,5,5,5,1,64,2,3,Primera Línea Metro,Micro,1,Comercio,1,0,1.0,0
61,2,3.0,,1/10/2024 1:05:57 p. m.,2,2,6.0,4.0,1.0,0,0,0,0,100,2,3,2,2,2,3,3,2,3,3,3,2,3.0,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,5,2,40,3,3,Primera Línea Metro,Pequeña,1,Comercio,0,0,2.5,0
62,2,3.0,,1/10/2024 12:36:25 p. m.,2,1,1.0,1.0,1.0,0,100,0,0,0,2,2,4,3,3,3,1,3,1,4,1,3,4.0,4,3,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,1,2,57,3,3,Primera Línea Metro,Micro,1,Comercio,0,1,2.5,0
63,1,,17.0,1/10/2024 2:11:29 p. m.,2,1,3.0,3.0,,50,50,0,0,0,1,2,1,1,3,4,1,3,2,2,1,2,5.0,5,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,5,4,3,2,26,4,17,Calle 13,Micro,1,Comercio,0,1,1.9166666666666667,0
65,1,,17.0,1/10/2024 2:46:49 p. m.,3,2,1.0,1.0,1.0,100,0,0,0,0,2,5,5,5,5,5,5,5,3,5,5,5,5.0,3,3,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,2,1,2,2,20,3,17,Calle 13,Pequeña,1,Servicio,0,0,4.583333333333333,0
66,1,,19.0,1/10/2024 2:53:48 p. m.,2,2,1.0,1.0,1.0,0,0,100,0,0,2,3,3,2,3,2,4,3,5,4,2,3,3.0,3,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,2,22,5,19,Calle 13,Pequeña,1,Comercio,1,0,3.0,1
67,2,3.0,,1/10/2024 2:43:39 p. m.,2,3,2.0,1.0,,0,0,100,0,0,1,1,4,2,1,2,3,4,1,1,2,2,3.0,5,2,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,4,1,2,60,3,3,Primera Línea Metro,Mediana,1,Comercio,1,0,2.0,0
68,1,,19.0,1/10/2024 2:56:17 p. m.,2,2,2.0,2.0,,0,0,100,0,0,1,5,5,1,1,1,1,3,3,4,1,3,5.0,2,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,3,3,3,2,49,3,19,Calle 13,Pequeña,1,Comercio,1,1,2.4166666666666665,1
69,2,3.0,,1/10/2024 2:41:48 p. m.,3,2,1.0,1.0,,0,0,50,0,50,3,3,3,1,1,2,2,3,1,1,1,5,3.0,3,2,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,5,1,2,47,3,3,Primera Línea Metro,Pequeña,1,Servicio,1,1,2.1666666666666665,0
70,2,3.0,,1/10/2024 2:57:28 p. m.,2,1,1.0,1.0,,0,100,0,0,0,1,1,5,5,1,3,3,1,1,5,1,5,1.0,5,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,5,1,2,28,4,3,Primera Línea Metro,Micro,1,Comercio,0,0,2.6666666666666665,0
71,2,3.0,,1/10/2024 3:01:03 p. m.,1,2,3.0,3.0,2.0,0,0,100,0,0,1,1,2,1,1,3,3,3,1,4,1,1,3.0,5,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,5,1,2,58,3,3,Primera Línea Metro,Pequeña,1,Industria,0,1,1.8333333333333333,0
72,2,3.0,,1/10/2024 2:58:06 p. m.,3,3,3.0,,,35,35,30,0,0,4,1,4,4,4,2,2,2,2,3,3,5,4.0,2,3,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,2,3,4,1,62,3,3,Primera Línea Metro,Mediana,1,Servicio,0,0,3.0,0
73,2,3.0,,1/10/2024 2:58:02 p. m.,3,1,2.0,1.0,1.0,0,20,0,0,80,2,1,1,1,1,2,2,1,1,3,1,3,4.0,3,3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,4,3,4,1,20,3,3,Primera Línea Metro,Micro,1,Servicio,0,0,1.5833333333333333,0
74,2,3.0,,1/10/2024 3:07:57 p. m.,3,1,2.0,2.0,2.0,0,0,100,0,0,1,1,1,1,1,1,1,1,1,2,1,3,,5,3,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,2,21,4,3,Primera Línea Metro,Micro,1,Servicio,0,0,1.25,0
75,1,,19.0,1/10/2024 3:27:26 p. m.,2,3,2.0,2.0,1.0,0,0,100,0,0,3,5,2,2,1,5,4,2,3,1,3,3,5.0,5,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,2,45,4,19,Calle 13,Mediana,1,Comercio,0,0,2.8333333333333335,1
76,1,,19.0,1/10/2024 3:24:55 p. m.,2,92,1.0,1.0,1.0,0,0,100,0,0,2,3,3,3,3,3,5,5,3,2,3,4,5.0,5,3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,4,3,2,22,4,19,Calle 13,NS/NR,0,Comercio,0,0,3.25,1
77,1,,19.0,1/10/2024 4:10:13 p. m.,2,2,4.0,2.0,1.0,0,0,100,0,0,1,2,3,1,2,2,1,4,3,1,3,4,5.0,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,2,2,23,4,19,Calle 13,Pequeña,1,Comercio,1,1,2.25,1
78,1,,19.0,1/10/2024 4:42:11 p. m.,2,3,2.0,2.0,2.0,0,0,100,0,0,1,2,1,1,5,1,5,1,3,1,1,3,3.0,5,3,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,2,19,3,19,Calle 13,Mediana,1,Comercio,0,0,2.0833333333333335,1
